taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
100019,7752,TRUE,TRUE,TRUE,TRUE
749589,4488,FALSE,FALSE,FALSE,FALSE
301207,7758,TRUE,TRUE,TRUE,TRUE
5453,1449,FALSE,FALSE,FALSE,FALSE
749586,7768,TRUE,TRUE,TRUE,TRUE
5454,7531,TRUE,TRUE,TRUE,TRUE
107450,1208,FALSE,FALSE,FALSE,FALSE
37463,2052,FALSE,FALSE,FALSE,FALSE
1573585,1377,FALSE,FALSE,FALSE,FALSE
1707701,7395,TRUE,TRUE,TRUE,TRUE
1828523,6897,FALSE,TRUE,TRUE,TRUE
137527,1015,FALSE,FALSE,FALSE,FALSE
73001,1577,FALSE,FALSE,FALSE,FALSE
749880,945,FALSE,FALSE,FALSE,FALSE
1253946,2052,FALSE,FALSE,FALSE,FALSE
1351751,2052,FALSE,FALSE,FALSE,FALSE
13684,7767,TRUE,TRUE,TRUE,TRUE
1351752,4718,FALSE,FALSE,FALSE,TRUE
2591512,2052,FALSE,FALSE,FALSE,FALSE
536020,1674,FALSE,FALSE,FALSE,FALSE
1077358,7665,TRUE,TRUE,TRUE,TRUE
390896,7762,TRUE,TRUE,TRUE,TRUE
1460663,7752,TRUE,TRUE,TRUE,TRUE
565426,7597,TRUE,TRUE,TRUE,TRUE
58128,2042,FALSE,FALSE,FALSE,FALSE
1303460,1193,FALSE,FALSE,FALSE,FALSE
1571500,2052,FALSE,FALSE,FALSE,FALSE
414560,2052,FALSE,FALSE,FALSE,FALSE
548649,7746,TRUE,TRUE,TRUE,TRUE
1450171,7744,TRUE,TRUE,TRUE,TRUE
318751,7757,TRUE,TRUE,TRUE,TRUE
1500034,2052,FALSE,FALSE,FALSE,FALSE
45137,2052,FALSE,FALSE,FALSE,FALSE
673940,7755,TRUE,TRUE,TRUE,TRUE
1547544,7668,TRUE,TRUE,TRUE,TRUE
224420,4446,FALSE,FALSE,FALSE,FALSE
665115,7576,TRUE,TRUE,TRUE,TRUE
703492,2052,FALSE,FALSE,FALSE,FALSE
45761,2052,FALSE,FALSE,FALSE,FALSE
278010,2052,FALSE,FALSE,FALSE,FALSE
50376,7760,TRUE,TRUE,TRUE,TRUE
253628,7741,TRUE,TRUE,TRUE,TRUE
1047141,1674,FALSE,FALSE,FALSE,FALSE
574789,7771,TRUE,TRUE,TRUE,TRUE
641380,1686,FALSE,FALSE,FALSE,FALSE
45133,7771,TRUE,TRUE,TRUE,TRUE
236234,7767,TRUE,TRUE,TRUE,TRUE
1934621,2052,FALSE,FALSE,FALSE,FALSE
276832,4469,FALSE,FALSE,FALSE,FALSE
120395,7635,TRUE,TRUE,TRUE,TRUE
462254,7762,TRUE,TRUE,TRUE,TRUE
1986016,7585,TRUE,TRUE,TRUE,TRUE
121624,5625,FALSE,FALSE,TRUE,TRUE
570527,1311,FALSE,FALSE,FALSE,FALSE
2093401,2052,FALSE,FALSE,FALSE,FALSE
1248177,1876,FALSE,FALSE,FALSE,FALSE
286661,7741,TRUE,TRUE,TRUE,TRUE
470096,7769,TRUE,TRUE,TRUE,TRUE
1341166,7756,TRUE,TRUE,TRUE,TRUE
61459,7771,TRUE,TRUE,TRUE,TRUE
100028,2052,FALSE,FALSE,FALSE,FALSE
100029,5010,FALSE,FALSE,FALSE,TRUE
2530474,1247,FALSE,FALSE,FALSE,FALSE
147564,1078,FALSE,FALSE,FALSE,FALSE
2256897,2052,FALSE,FALSE,FALSE,FALSE
796411,1256,FALSE,FALSE,FALSE,FALSE
2610807,2052,FALSE,FALSE,FALSE,FALSE
1206354,1360,FALSE,FALSE,FALSE,FALSE
2530468,2052,FALSE,FALSE,FALSE,FALSE
748632,2044,FALSE,FALSE,FALSE,FALSE
1180555,2052,FALSE,FALSE,FALSE,FALSE
2488734,7746,TRUE,TRUE,TRUE,TRUE
2713876,2052,FALSE,FALSE,FALSE,FALSE
2249810,1543,FALSE,FALSE,FALSE,FALSE
543791,7458,TRUE,TRUE,TRUE,TRUE
72318,1161,FALSE,FALSE,FALSE,FALSE
1381127,2052,FALSE,FALSE,FALSE,FALSE
748630,1844,FALSE,FALSE,FALSE,FALSE
13201,2042,FALSE,FALSE,FALSE,FALSE
2040901,2039,FALSE,FALSE,FALSE,FALSE
1280499,2052,FALSE,FALSE,FALSE,FALSE
5506,7767,TRUE,TRUE,TRUE,TRUE
5127,7755,TRUE,TRUE,TRUE,TRUE
117187,7752,TRUE,TRUE,TRUE,TRUE
948311,7762,TRUE,TRUE,TRUE,TRUE
42677,6580,FALSE,TRUE,TRUE,TRUE
78861,5515,FALSE,FALSE,TRUE,TRUE
56646,7770,TRUE,TRUE,TRUE,TRUE
5518,7729,TRUE,TRUE,TRUE,TRUE
5516,7738,TRUE,TRUE,TRUE,TRUE
101028,7721,TRUE,TRUE,TRUE,TRUE
5507,7774,TRUE,TRUE,TRUE,TRUE
2502994,7769,TRUE,TRUE,TRUE,TRUE
2747968,7757,TRUE,TRUE,TRUE,TRUE
48486,7539,TRUE,TRUE,TRUE,TRUE
29916,7582,TRUE,TRUE,TRUE,TRUE
40199,971,FALSE,FALSE,FALSE,FALSE
152502,2052,FALSE,FALSE,FALSE,FALSE
29855,7775,TRUE,TRUE,TRUE,TRUE
64609,831,FALSE,FALSE,FALSE,FALSE
1053159,2052,FALSE,FALSE,FALSE,FALSE
215734,1392,FALSE,FALSE,FALSE,FALSE
78410,1963,FALSE,FALSE,FALSE,FALSE
1053259,6144,FALSE,FALSE,TRUE,TRUE
1053064,2052,FALSE,FALSE,FALSE,FALSE
2012010,2052,FALSE,FALSE,FALSE,FALSE
182845,7775,TRUE,TRUE,TRUE,TRUE
5543,7765,TRUE,TRUE,TRUE,TRUE
51453,7770,TRUE,TRUE,TRUE,TRUE
5544,7743,TRUE,TRUE,TRUE,TRUE
101201,7734,TRUE,TRUE,TRUE,TRUE
58853,7756,TRUE,TRUE,TRUE,TRUE
63577,7745,TRUE,TRUE,TRUE,TRUE
29875,7742,TRUE,TRUE,TRUE,TRUE
398673,7751,TRUE,TRUE,TRUE,TRUE
337941,7486,TRUE,TRUE,TRUE,TRUE
49224,7630,TRUE,TRUE,TRUE,TRUE
702381,2052,FALSE,FALSE,FALSE,FALSE
2768925,7695,TRUE,TRUE,TRUE,TRUE
1929498,7434,TRUE,TRUE,TRUE,TRUE
29852,7340,TRUE,TRUE,TRUE,TRUE
5131,2052,FALSE,FALSE,FALSE,FALSE
193393,1406,FALSE,FALSE,FALSE,FALSE
45234,7764,TRUE,TRUE,TRUE,TRUE
73501,7768,TRUE,TRUE,TRUE,TRUE
114497,7769,TRUE,TRUE,TRUE,TRUE
45847,7759,TRUE,TRUE,TRUE,TRUE
89141,7575,TRUE,TRUE,TRUE,TRUE
5581,7701,TRUE,TRUE,TRUE,TRUE
176275,7767,TRUE,TRUE,TRUE,TRUE
93591,7715,TRUE,TRUE,TRUE,TRUE
468837,7686,TRUE,TRUE,TRUE,TRUE
2231603,1169,FALSE,FALSE,FALSE,FALSE
2204306,2052,FALSE,FALSE,FALSE,FALSE
37998,7771,TRUE,TRUE,TRUE,TRUE
500148,7763,TRUE,TRUE,TRUE,TRUE
92637,7721,TRUE,TRUE,TRUE,TRUE
568076,7735,TRUE,TRUE,TRUE,TRUE
1649241,7694,TRUE,TRUE,TRUE,TRUE
1824753,2052,FALSE,FALSE,FALSE,FALSE
5112,7774,TRUE,TRUE,TRUE,TRUE
35717,7758,TRUE,TRUE,TRUE,TRUE
170559,1198,FALSE,FALSE,FALSE,FALSE
5047,7715,TRUE,TRUE,TRUE,TRUE
5113,7190,TRUE,TRUE,TRUE,TRUE
447255,5482,FALSE,FALSE,TRUE,TRUE
