"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","Blank vs Swab",1,0.732055036925962,1.79991987643956,0.0909054121265072,0.019,0.19,""
"2","Blank vs Svalbard",1,1.30100866721895,3.23251128317758,0.128108979994103,0.001,0.01,"*"
"3","Blank vs Land",1,3.73871688560813,13.8475863851947,0.262028738346962,0.001,0.01,"*"
"4","Blank vs pre-historic",1,2.26768553002879,6.68518284024328,0.233053520260796,0.001,0.01,"*"
"5","Swab vs Svalbard",1,0.298723700507651,1.04525829311897,0.148363374291027,0.45,1,""
"6","Swab vs Land",1,0.266957292052915,1.81127296456839,0.0730020167508119,0.097,0.97,""
"7","Swab vs pre-historic",1,0.422543466570089,7.85162302745893,0.566837764202373,0.033,0.33,""
"8","Svalbard vs Land",1,0.465974108550299,2.55536247207982,0.0864601973497635,0.027,0.27,""
"9","Svalbard vs pre-historic",1,0.367716932459935,1.98070493767676,0.165324573802654,0.021,0.21,""
"10","Land vs pre-historic",1,0.349809392089434,2.67434588758751,0.0901231621993785,0.034,0.34,""
