"","kingdom","phylum","class","order","family","genus","species"
"1424304","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia prasadii"
"1804210","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","Phoma sp. BAUA 2861"
"372055","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","Lophiostoma macrostomum"
"63220","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Thyridariaceae","Roussoella","Roussoella hysterioides"
"435390","Fungi","Ascomycota","Dothideomycetes","Jahnulales","Aliquandostipitaceae","Jahnula","Jahnula bipileata"
"687952","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Passalora","Passalora bellynckii"
"1919729","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,"Dothideomycetes sp. genotype 646 JMUR-2016"
"1166704","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Pannariaceae","Leptogidium","Leptogidium dendriscum"
"471833","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Megasporaceae","Aspicilia","Aspicilia dudinensis"
"44625","Fungi","Ascomycota","Pezizomycetes","Pezizales","Helvellaceae","Helvella","Helvella lacunosa"
"1934389","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Yarrowia","Yarrowia parophoni"
"1088082","Fungi","Ascomycota",NA,NA,NA,"Kendrickiella","Kendrickiella phycomyces"
"371732","Fungi","Ascomycota",NA,NA,NA,NA,"ascomycete sp. Lrub20"
"5632","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Lenzites","Lenzites betulinus"
"2093324","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Brunneoporus",NA
"170450","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium","Ceratobasidium sp. AG-A"
"55514","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius deliciosus"
