"taxa_id" "W" "detected_0.9" "detected_0.8" "detected_0.7" "detected_0.6"
"117" "101201" 0 FALSE FALSE FALSE FALSE
"118" "58853" 0 FALSE FALSE FALSE FALSE
"119" "63577" 33 FALSE FALSE FALSE FALSE
"120" "29875" 1 FALSE FALSE FALSE FALSE
"121" "398673" 231 FALSE FALSE FALSE FALSE
"122" "337941" Inf TRUE TRUE TRUE TRUE
"123" "49224" Inf TRUE TRUE TRUE TRUE
"124" "2768925" Inf TRUE TRUE TRUE TRUE
"125" "29852" Inf TRUE TRUE TRUE TRUE
"126" "45234" 0 FALSE FALSE FALSE FALSE
"127" "73501" 0 FALSE FALSE FALSE FALSE
"128" "114497" 442 FALSE TRUE TRUE TRUE
"129" "45847" Inf TRUE TRUE TRUE TRUE
"130" "89141" Inf TRUE TRUE TRUE TRUE
"131" "5581" Inf TRUE TRUE TRUE TRUE
"132" "176275" 0 FALSE FALSE FALSE FALSE
"133" "93591" Inf TRUE TRUE TRUE TRUE
"134" "468837" Inf TRUE TRUE TRUE TRUE
"135" "37998" Inf TRUE TRUE TRUE TRUE
"136" "500148" 0 FALSE FALSE FALSE FALSE
"137" "92637" 0 FALSE FALSE FALSE FALSE
"138" "568076" 60 FALSE FALSE FALSE FALSE
"139" "1649241" Inf TRUE TRUE TRUE TRUE
"140" "5112" 0 FALSE FALSE FALSE FALSE
"141" "35717" 0 FALSE FALSE FALSE FALSE
"142" "170559" Inf TRUE TRUE TRUE TRUE
"143" "5047" 1 FALSE FALSE FALSE FALSE
"144" "5113" Inf TRUE TRUE TRUE TRUE
"145" "280754" 0 FALSE FALSE FALSE FALSE
"146" "696354" 277 FALSE FALSE FALSE FALSE
"147" "1105340" Inf TRUE TRUE TRUE TRUE
"148" "40601" Inf TRUE TRUE TRUE TRUE
"149" "264952" Inf TRUE TRUE TRUE TRUE
"150" "1094350" 461 FALSE TRUE TRUE TRUE
"151" "29856" Inf TRUE TRUE TRUE TRUE
"152" "33203" 460 FALSE TRUE TRUE TRUE
"153" "42367" Inf TRUE TRUE TRUE TRUE
"154" "111463" Inf TRUE TRUE TRUE TRUE
"155" "369263" Inf TRUE TRUE TRUE TRUE
"156" "332947" Inf TRUE TRUE TRUE TRUE
"157" "72228" Inf TRUE TRUE TRUE TRUE
"158" "29909" Inf TRUE TRUE TRUE TRUE
"159" "29910" Inf TRUE TRUE TRUE TRUE
"160" "5044" Inf TRUE TRUE TRUE TRUE
"161" "5455" 263 FALSE FALSE FALSE FALSE
"162" "690256" 0 FALSE FALSE FALSE FALSE
"163" "474922" Inf TRUE TRUE TRUE TRUE
"164" "80884" 0 FALSE FALSE FALSE FALSE
"165" "1209932" 339 FALSE FALSE FALSE TRUE
"166" "343994" Inf TRUE TRUE TRUE TRUE
"167" "1209926" 397 FALSE FALSE TRUE TRUE
"168" "5462" Inf TRUE TRUE TRUE TRUE
"169" "1036719" 368 FALSE FALSE FALSE TRUE
"170" "27337" 0 FALSE FALSE FALSE FALSE
"171" "1051616" 0 FALSE FALSE FALSE FALSE
"172" "1051613" 0 FALSE FALSE FALSE FALSE
"173" "1302862" 0 FALSE FALSE FALSE FALSE
"174" "398408" 0 FALSE FALSE FALSE FALSE
"175" "1929893" Inf TRUE TRUE TRUE TRUE
"176" "563466" 311 FALSE FALSE FALSE FALSE
"177" "561152" Inf TRUE TRUE TRUE TRUE
"178" "78579" 0 FALSE FALSE FALSE FALSE
"179" "2587410" 527 TRUE TRUE TRUE TRUE
"180" "5144" 0 FALSE FALSE FALSE FALSE
"181" "48703" 0 FALSE FALSE FALSE FALSE
"182" "2587412" 0 FALSE FALSE FALSE FALSE
"183" "38033" 443 FALSE TRUE TRUE TRUE
"184" "209285" 293 FALSE FALSE FALSE FALSE
"185" "1934356" Inf TRUE TRUE TRUE TRUE
"186" "2587399" Inf TRUE TRUE TRUE TRUE
"187" "5140" 0 FALSE FALSE FALSE FALSE
"188" "5141" 0 FALSE FALSE FALSE FALSE
"189" "40127" 162 FALSE FALSE FALSE FALSE
"190" "29879" Inf TRUE TRUE TRUE TRUE
"191" "5147" 0 FALSE FALSE FALSE FALSE
"192" "573841" Inf TRUE TRUE TRUE TRUE
"193" "100816" 0 FALSE FALSE FALSE FALSE
"194" "48558" 204 FALSE FALSE FALSE FALSE
"195" "318829" 0 FALSE FALSE FALSE FALSE
"196" "148305" 0 FALSE FALSE FALSE FALSE
"197" "1578925" 0 FALSE FALSE FALSE FALSE
"198" "36779" 487 FALSE TRUE TRUE TRUE
"199" "29908" 463 FALSE TRUE TRUE TRUE
"200" "150359" 0 FALSE FALSE FALSE FALSE
"201" "226899" 359 FALSE FALSE FALSE TRUE
"202" "5159" 0 FALSE FALSE FALSE FALSE
"203" "522482" Inf TRUE TRUE TRUE TRUE
"204" "223192" 0 FALSE FALSE FALSE FALSE
"205" "5116" 0 FALSE FALSE FALSE FALSE
"206" "305399" 0 FALSE FALSE FALSE FALSE
"207" "764597" 0 FALSE FALSE FALSE FALSE
